*Parameters
ProblemName RBWQN50A250C150W2MM_S1306
netGenMethod 2
netConnMethod 1
comGenMethod 1
weightlimitGenMethod 0
num_weights 2
num_nodes 50
num_arcs 250
num_commodities 150
seed_num 1306
arc_span 2
num_comm_hop_lb 1
num_comm_hop_ub 1
q_lb 15.00
q_ub 25.00
rw_lb 0.00
rw_ub 1.00
demand_lb 1.00
demand_ub 1.00
variableCostAlpha 0.10
variableCostBeta 0.10000
rewire_ratio 0.10
euc_random_ratio 0.50
Fcost_random_ratio 0.50
cost_scale 100
weight_scale 200
*Commodities: Index fromNode toNode demand weightLimit(s) qthValue
1 37 45 1.000 487 772 20
2 10 40 1.000 717 479 22
3 29 13 1.000 471 699 16
4 24 11 1.000 788 582 18
5 13 2 1.000 453 598 18
6 35 37 1.000 512 631 16
7 48 14 1.000 694 644 25
8 43 47 1.000 1019 639 16
9 5 45 1.000 585 729 21
10 23 36 1.000 587 582 15
11 36 32 1.000 737 726 25
12 27 24 1.000 647 768 17
13 19 43 1.000 613 763 21
14 37 12 1.000 787 680 20
15 10 48 1.000 738 569 17
16 49 20 1.000 747 690 18
17 25 19 1.000 754 565 25
18 23 24 1.000 507 928 24
19 16 39 1.000 428 783 15
20 23 9 1.000 533 578 20
21 27 15 1.000 685 732 22
22 5 44 1.000 695 750 15
23 8 14 1.000 548 813 25
24 3 27 1.000 690 745 21
25 30 49 1.000 816 633 24
26 30 28 1.000 797 681 25
27 19 7 1.000 562 456 15
28 37 46 1.000 694 757 19
29 20 44 1.000 868 611 15
30 17 16 1.000 780 631 16
31 17 40 1.000 674 602 23
32 18 16 1.000 781 648 18
33 14 18 1.000 646 740 24
34 30 7 1.000 677 691 25
35 50 49 1.000 663 780 15
36 41 48 1.000 463 718 15
37 17 19 1.000 681 547 17
38 24 7 1.000 671 718 23
39 8 41 1.000 796 713 19
40 34 49 1.000 862 721 18
41 41 42 1.000 699 698 17
42 39 43 1.000 566 730 21
43 41 9 1.000 559 481 19
44 33 28 1.000 889 604 19
45 31 37 1.000 575 586 15
46 21 49 1.000 674 704 24
47 41 47 1.000 647 756 25
48 37 6 1.000 486 768 22
49 10 19 1.000 605 624 23
50 24 16 1.000 892 653 15
51 27 14 1.000 605 688 18
52 20 32 1.000 490 642 18
53 3 20 1.000 708 657 23
54 49 8 1.000 621 823 18
55 27 22 1.000 666 557 17
56 2 38 1.000 639 744 15
57 26 20 1.000 531 778 16
58 27 33 1.000 638 721 16
59 45 14 1.000 614 770 19
60 49 4 1.000 674 636 16
61 6 3 1.000 490 757 21
62 18 39 1.000 673 575 22
63 46 11 1.000 703 667 18
64 4 12 1.000 885 614 25
65 45 43 1.000 702 791 19
66 42 14 1.000 525 614 22
67 50 1 1.000 674 837 20
68 49 44 1.000 963 752 25
69 29 20 1.000 723 671 25
70 24 35 1.000 848 841 24
71 13 7 1.000 396 720 18
72 37 48 1.000 645 724 22
73 3 7 1.000 629 569 16
74 9 20 1.000 692 815 22
75 6 2 1.000 550 536 16
76 48 21 1.000 689 606 19
77 27 10 1.000 630 666 22
78 5 2 1.000 617 694 23
79 20 49 1.000 670 512 16
80 43 33 1.000 722 915 19
81 35 30 1.000 887 1011 23
82 33 26 1.000 642 643 23
83 6 40 1.000 560 554 15
84 46 43 1.000 836 680 20
85 22 17 1.000 671 517 20
86 20 21 1.000 529 713 15
87 14 37 1.000 507 750 22
88 17 34 1.000 714 626 15
89 34 43 1.000 738 848 18
90 2 9 1.000 564 617 24
91 20 4 1.000 495 669 18
92 35 19 1.000 622 531 18
93 39 32 1.000 585 647 23
94 31 20 1.000 662 712 24
95 25 2 1.000 456 554 15
96 32 34 1.000 669 609 22
97 47 2 1.000 292 733 18
98 11 15 1.000 674 712 25
99 10 6 1.000 460 808 21
100 32 49 1.000 505 625 15
101 26 47 1.000 630 783 16
102 20 48 1.000 664 663 18
103 36 25 1.000 795 852 15
104 37 36 1.000 711 610 19
105 36 39 1.000 537 896 25
106 29 47 1.000 852 720 23
107 5 47 1.000 569 858 16
108 37 13 1.000 578 597 17
109 47 39 1.000 490 628 18
110 17 25 1.000 762 716 20
111 6 38 1.000 646 576 17
112 24 36 1.000 839 797 22
113 3 8 1.000 694 693 20
114 3 19 1.000 707 566 19
115 47 37 1.000 576 587 20
116 23 32 1.000 683 596 23
117 8 1 1.000 623 688 25
118 41 39 1.000 431 673 18
119 19 27 1.000 551 619 15
120 23 21 1.000 649 652 15
121 9 31 1.000 694 864 18
122 19 32 1.000 430 791 18
123 41 34 1.000 431 782 16
124 47 14 1.000 479 620 16
125 47 11 1.000 518 576 17
126 44 33 1.000 986 733 24
127 22 18 1.000 685 597 15
128 37 8 1.000 552 721 16
129 25 11 1.000 726 635 21
130 18 24 1.000 705 787 25
131 41 37 1.000 576 514 19
132 36 10 1.000 595 723 15
133 21 28 1.000 734 592 21
134 41 13 1.000 502 513 15
135 42 47 1.000 827 567 16
136 39 6 1.000 746 398 22
137 11 6 1.000 607 481 20
138 25 10 1.000 721 640 16
139 31 9 1.000 488 521 15
140 3 26 1.000 526 626 17
141 50 38 1.000 628 864 23
142 40 10 1.000 721 739 18
143 30 8 1.000 804 650 20
144 9 41 1.000 650 781 16
145 28 21 1.000 677 667 15
146 3 9 1.000 547 689 17
147 38 29 1.000 519 563 21
148 13 49 1.000 818 450 20
149 46 36 1.000 660 776 23
150 50 30 1.000 895 1088 23
*Arcs: Index fromNode toNode fixedCost variableCost Weight(s)
1 19 2 63 5 87 134
2 19 5 47 6 76 105
3 2 15 62 3 199 181
4 19 42 64 8 187 129
5 42 26 76 9 149 104
6 15 14 51 8 147 60
7 5 11 61 7 160 222
8 42 12 54 8 185 122
9 26 37 60 10 71 131
10 19 1 57 11 88 133
11 12 41 27 3 222 86
12 26 39 32 2 78 263
13 42 47 40 1 92 185
14 11 29 40 8 109 194
15 1 48 42 3 160 140
16 12 13 28 6 250 169
17 41 24 48 8 168 233
18 15 45 81 6 87 185
19 29 23 37 3 247 182
20 37 7 33 5 145 100
21 14 35 56 5 109 185
22 5 16 42 7 237 86
23 2 28 28 3 264 101
24 14 20 53 1 179 115
25 41 21 37 5 146 246
26 16 17 48 5 242 178
27 14 6 75 10 65 175
28 13 10 32 6 86 72
29 28 34 64 3 75 167
30 41 9 46 5 66 57
31 39 22 47 5 226 109
32 37 46 51 2 145 153
33 10 36 34 3 185 92
34 28 8 56 2 162 190
35 14 25 56 10 208 216
36 17 33 56 6 153 100
37 13 32 34 3 256 189
38 33 44 68 10 139 174
39 32 43 41 3 127 213
40 36 40 32 4 86 176
41 15 18 57 11 162 229
42 19 49 38 7 175 218
43 45 31 37 7 82 161
44 17 38 38 7 176 145
45 36 4 44 3 231 231
46 35 30 48 9 100 211
47 30 27 69 9 191 193
48 43 3 29 1 132 179
49 4 50 73 2 27 189
50 2 19 69 4 150 21
51 5 2 29 2 131 206
52 15 2 60 12 109 84
53 42 19 75 12 80 65
54 26 5 49 6 60 132
55 14 5 34 6 158 260
56 11 2 48 9 144 55
57 12 15 39 2 230 167
58 37 26 46 2 124 226
59 1 5 40 8 208 147
60 41 12 42 1 145 188
61 39 2 42 4 134 136
62 47 5 60 4 186 92
63 29 47 30 3 200 151
64 48 39 21 4 91 143
65 13 1 46 7 236 204
66 24 15 24 2 165 246
67 45 29 32 1 231 251
68 23 41 75 10 180 206
69 7 45 19 1 130 285
70 35 14 85 4 4 78
71 16 41 26 3 131 189
72 28 13 56 7 204 90
73 20 26 21 1 213 205
74 21 12 56 11 100 126
75 17 13 33 5 176 180
76 6 11 85 11 83 158
77 10 26 53 9 51 105
78 34 1 57 7 175 170
79 9 7 73 10 34 142
80 22 23 22 2 145 256
81 46 45 43 6 160 248
82 36 24 25 2 197 138
83 8 20 36 4 155 101
84 25 26 62 4 115 86
85 33 45 53 5 138 56
86 32 11 29 3 236 123
87 44 9 51 10 207 175
88 43 28 30 5 248 161
89 40 32 26 2 149 258
90 18 10 45 3 100 78
91 49 22 79 4 182 55
92 31 49 10 2 229 208
93 38 22 84 13 118 125
94 4 14 31 1 257 222
95 30 12 71 7 98 146
96 27 6 37 6 115 174
97 3 27 20 1 141 161
98 50 22 21 3 188 174
99 15 31 58 11 115 203
100 38 32 69 4 52 45
101 6 10 38 2 148 222
102 20 42 24 5 170 82
103 13 9 53 5 175 182
104 31 25 35 2 193 220
105 13 29 33 6 184 195
106 31 5 49 1 96 53
107 4 8 57 4 182 206
108 41 2 44 6 174 197
109 20 4 51 8 219 86
110 28 3 41 2 59 223
111 31 33 28 5 145 165
112 7 21 40 3 171 182
113 39 21 68 9 126 148
114 3 29 23 1 124 90
115 41 42 71 10 28 54
116 1 25 20 2 105 221
117 36 46 18 2 286 191
118 14 36 26 4 251 135
119 48 22 54 10 61 124
120 5 50 33 4 68 99
121 37 4 47 5 108 151
122 25 10 55 11 178 101
123 2 26 68 5 73 163
124 42 17 66 10 180 65
125 13 42 29 2 171 272
126 27 46 48 9 162 149
127 7 39 16 2 128 213
128 30 15 24 3 132 273
129 38 13 52 4 71 153
130 27 37 30 5 212 160
131 6 48 34 2 239 197
132 10 27 45 1 116 125
133 40 8 56 3 96 224
134 39 8 27 4 271 258
135 48 31 18 2 134 241
136 42 45 33 4 181 188
137 14 34 22 3 148 105
138 22 39 66 12 160 114
139 4 39 55 5 77 220
140 50 23 26 3 266 257
141 11 5 56 5 195 127
142 27 9 60 7 86 81
143 13 3 20 4 94 205
144 11 14 39 5 156 156
145 9 44 39 3 252 166
146 41 43 20 1 87 183
147 42 36 28 4 88 114
148 23 6 76 2 106 78
149 35 21 32 1 249 239
150 22 17 54 11 223 72
151 19 43 48 7 110 228
152 26 9 50 6 133 137
153 4 2 24 5 126 187
154 34 14 27 2 258 241
155 9 4 37 1 185 221
156 18 28 42 8 212 79
157 37 32 33 5 79 186
158 33 13 34 6 81 220
159 38 15 82 4 124 151
160 11 13 71 2 158 67
161 11 17 61 3 170 82
162 29 22 50 3 198 81
163 3 31 35 7 152 259
164 6 49 57 11 193 171
165 5 13 28 1 240 236
166 21 40 67 11 76 42
167 47 29 32 6 151 193
168 25 20 39 2 109 241
169 34 5 80 10 195 156
170 24 36 32 5 94 81
171 6 20 26 5 237 193
172 28 11 32 3 171 185
173 21 22 66 3 124 218
174 47 38 74 2 16 40
175 39 28 38 8 101 194
176 35 5 55 9 137 46
177 10 29 59 8 230 140
178 22 26 62 10 63 91
179 17 4 28 4 94 93
180 21 32 72 10 185 144
181 46 28 19 2 276 184
182 6 45 62 10 153 208
183 32 24 66 9 52 206
184 1 9 68 3 23 108
185 6 23 77 7 70 79
186 35 27 65 1 125 188
187 42 49 60 10 212 41
188 3 48 66 8 162 81
189 16 27 30 6 80 261
190 25 30 28 1 215 176
191 7 8 31 2 224 201
192 12 42 58 10 193 101
193 22 29 65 3 158 209
194 49 10 56 2 185 235
195 23 14 13 1 200 199
196 46 37 45 7 179 249
197 45 40 11 2 181 112
198 42 8 28 6 264 190
199 47 26 36 4 159 248
200 11 22 7 1 255 217
201 2 18 32 1 222 86
202 24 46 46 1 141 125
203 39 20 16 3 161 256
204 50 7 49 8 51 137
205 32 6 73 8 69 27
206 13 27 51 9 101 160
207 46 17 60 1 119 113
208 39 42 11 3 286 226
209 9 35 19 1 173 234
210 16 50 35 4 126 120
211 27 36 27 2 250 271
212 42 2 29 1 120 225
213 18 47 25 5 234 152
214 31 23 76 7 177 84
215 19 14 16 2 248 230
216 27 48 32 6 105 176
217 44 34 45 3 214 127
218 32 21 55 10 166 191
219 32 13 33 3 96 120
220 10 6 62 10 113 62
221 11 45 37 1 80 244
222 36 37 15 1 266 105
223 3 34 9 2 287 289
224 31 19 78 12 140 126
225 8 22 16 2 253 273
226 44 26 28 2 220 116
227 29 14 23 2 109 172
228 6 2 57 5 122 124
229 48 9 65 1 44 208
230 42 11 30 5 260 111
231 28 10 11 1 293 286
232 19 26 67 9 90 178
233 23 17 39 3 69 120
234 13 40 61 3 187 35
235 36 29 20 3 100 234
236 8 6 51 3 48 215
237 21 43 50 7 228 115
238 2 1 65 5 211 173
239 39 18 38 3 88 257
240 35 24 26 1 261 171
241 7 46 8 1 108 160
242 22 50 51 9 154 46
243 17 3 39 2 188 127
244 39 17 24 3 243 142
245 47 40 72 8 26 170
246 10 43 25 2 267 210
247 36 16 24 5 275 147
248 16 45 44 2 71 187
249 2 38 60 7 182 208
250 20 41 28 3 118 90
